Campaign_ID,Date,Region,Activation_Type,Budget_Allocated,Actual_Spend,Staff_Count,Units_Sold,Performance_Score
EM-2024-001,2024-05-15,Toronto,Retail Tasting,650,510,2,48,92%
EM-2024-002,2024-05-16,Brampton,Brand Awareness,1100,950,4,0,88%
EM-2024-003,2024-05-20,North York,Product Launch,2500,2100,8,156,95%
EM-2024-004,2024-06-01,Mississauga,Retail Tasting,650,580,2,32,84%
EM-2024-005,2024-06-12,Downtown,Pop-up Event,4500,3900,12,412,97%
EM-2024-06,2024-07-04,Scarborough,Retail Tasting,650,520,2,55,93%
EM-2024-07,2024-07-15,Vaughan,Brand Awareness,1200,1050,5,0,90%
EM-2024-08,2024-08-02,Etobicoke,Retail Tasting,650,545,2,29,81%
EM-2024-09,2024-08-20,Hamilton,Product Launch,2800,2400,9,189,94%
EM-2024-10,2024-09-05,Toronto,Retail Tasting,650,505,2,61,96%
EM-2024-11,2024-10-12,GTA-West,Trade Show,5500,4800,15,880,98%
EM-2024-12,2024-11-20,Toronto,Retail Tasting,650,590,2,22,78%
EM-2024-13,2024-12-15,North York,Holiday Promo,3200,2800,10,310,95%
EM-2025-01,2025-01-05,Downtown,Retail Tasting,700,610,2,41,89%
EM-2025-02,2025-02-14,Mississauga,Valentine Event,1500,1300,6,95,92%
EM-2025-03,2025-03-20,Brampton,Retail Tasting,700,580,2,52,94%
EM-2025-04,2025-05-10,Toronto,Summer Launch,4000,3500,14,520,96%
EM-2025-05,2025-07-22,Scarborough,Retail Tasting,700,650,2,33,82%
EM-2025-06,2025-10-15,Etobicoke,Fall Promo,2200,1950,7,215,93%
EM-2025-07,2025-12-20,Downtown,Year-End Activation,6000,5200,20,1100,99%
